Category,StoreType,Address,Region,lng,lat,OperatingHours,Telephone,,
NTUC,,"TOA PAYOH A, 192 Toa Payoh Lorong 4, #01- 670/672, Singapore 310192",Central,103.85065,1.331722,8:00 AM - 11:00 PM,"62508019, 62534178",,
NTUC,,"WOODLANDS BLK 888, 888 Woodlands Drive 50, #01-757, Singapore 730888",North,103.795476,1.438552,12:00 AM - 11:59 PM,"63687756, 63681760",,
NTUC,,"WHITESANDS, 1 Pasir Ris Central Street 3, #B1-10, Whitesands, Singapore 518457",East,103.949405,1.372472,8:00 AM - 11:00 PM,"65850536, 65850540",,
NTUC,,"YUNG KUANG, 63/66 Yung Kuang Road, #01- 119/#02-119, Singapore 610063",West,103.722517,1.331994,8:00 AM - 10:00 PM,"62655800, 62655183",,
NTUC,,"YISHUN MRT, 301 Yishun Ave 2, #01-02, Yishun Mrt Station, Singapore 769093",North,103.835188,1.429369,7:00 AM - 11:30 PM,"67554233, 67557705",,
NTUC,FairPrice Xtra,"HYPER HOUGANG ONE, 1 Hougang Street 91, #02- 01, Hougang 1, Singapore 538692",North-East,103.879627,1.375286,7:00 AM - 11:00 PM,"68810013, 68810134",,
NTUC,,"RIVERVALE PLAZA, 118 Rivervale Drive, #01-08, Rivervale Plaza, Singapore 540118",North-East,103.902941,1.385535,12:00 AM - 11:59 PM,"68810551, 68810552",,
NTUC,,"RIVERVALE MALL, 11 Rivervale Cresent, #03-01, Rivervale Mall, Singapore 545082",North-East,103.904656,1.392093,8:00 AM - 10:00 PM,"63844711, 63844709",,
NTUC,,"YISHUN RING BLK 414, 414 Yishun Ring Road, #01-1853, Singapore 760414",North,103.846693,1.424445,12:00 AM - 11:59 PM,62570679,,
NTUC,,"TOA PAYOH HDB HUB, 500 Toa Payoh Lorong 6, #B1-32/#01-33, Singapore 310500",Central,103.847057,1.333015,7:00 AM - 11:59 PM,"62506009, 62505270",,
NTUC,,"KHATIB, 849 Yishun Ring Road, #01-3701/3703, Singapore 760849",North,103.835243,1.416939,12:00 AM - 11:59 PM,"67550955, 67550976",,
NTUC,,"ORCHARD GRAND COURT, 131 Killiney Road, #01-01/02/03, Orchard Grand Court, Singapore 239571",Central,103.838372,1.297315,12:00 AM - 11:59 PM,67344450,,
NTUC,FairPrice Finest,"JUNCTION 8, 9 Bishan Place, #B1-01, Junction 8 Shopping Centre, Singapore 579837",Central,103.848515,1.35063,8:00 AM - 11:00 PM,"62590461, 62594437",,
NTUC,FairPrice Finest,"WOODGROVE, 30 Woodlands Ave 1, #01-11, The Woodgrove, Singapore 739065",North,103.781193,1.429068,12:00 AM - 11:59 PM,"68931203, 68939576",,
NTUC,,"BUKIT BATOK EAST, 280 Bukit Batok East Ave 3, #01-315, Singapore 650280",West,103.757112,1.347599,12:00 AM - 11:59 PM,65610042,,
NTUC,,"SENJA GRAND, 628 Senja Road, #01-01, Senja Grand, Singapore 670628",West,103.760094,1.385129,12:00 AM - 11:59 PM,67631076,,
NTUC,,"DAWSON, 57 Dawson Road, #01-07, Dawson Place, Singapore 142057",Central,103.811032,1.29271,12:00 AM - 11:59 PM,"64764471, 64792427",,
NTUC,FairPrice Finest,"TIONG BAHRU PLAZA, 302 Tiong Bahru Road, #B1-01/02, Tiong Bahru Plaza, Singapore 168732",Central,103.826746,1.286674,8:00 AM - 11:00 PM,"62700913, 62700119",,
NTUC,,"DEPOT, 108 Depot Road, #01-01, Depot Heights Shopping Centre, Singapore 100108",Central,103.810083,1.281198,8:00 AM - 10:00 PM,62729697,,
NTUC,,"PUNGGOL PLAZA, 168 Punggol Field Road, #03- 01/02, Punggol Plaza, Singapore 820168",North-East,103.912912,1.394211,7:00 AM - 10:00 PM,"63129091, 63129880",,
NTUC,,"WOODLANDS CIVIC CTR, 900 South Woodlands Drive, #B1-01, Woodlands Civic Centre, Singapore 730900",North,103.774149,1.432504,7:00 AM - 11:00 PM,"62192812, 62192074",,
NTUC,,"TAMPINES BLK 138, 138 Tampines Street 11, #01- 136, Singapore 521138",East,103.945654,1.345493,12:00 AM - 11:59 PM,67810648,,
NTUC,,"CHAI CHEE, 29B Chai Chee Ave, #01-62, Singapore 462029",East,103.923793,1.324271,12:00 AM - 11:59 PM,64432578,,
NTUC,,"SERANGOON CENTRAL, 253 Serangoon Central Drive, #01-241, Singapore 550253",North-East,103.87077,1.354122,12:00 AM - 11:59 PM,62891647,,
NTUC,,"SIGLAP NEW MARKET, 934 East Coast Road, Siglap New Market, Singapore 459125",East,103.925253,1.312397,12:00 AM - 11:59 PM,64484285,,
NTUC,,"YISHUN BLK 239, 239 Yishun Ring Road, #01-1150, Singapore 760239",North,103.839943,1.433462,7:00 AM - 10:00 PM,67551369,,
NTUC,,"PASIR RIS WEST PLAZA, 734 Pasir Ris Street 72, #01-37, Pasir Ris West Plaza, Singapore 510734",East,103.936293,1.379995,12:00 AM - 11:59 PM,"65812886, 65813845",,
NTUC,FairPrice Xtra,"HYPER ANG MO KIO , 53 Ang Mo Kio Ave 3, #B2- 26, Ang Mo Kio Hub, Singapore 569933",North-East,103.848647,1.369623,7:00 AM - 11:00 PM,"64532521, 64531741",,
NTUC,,"SQUARE 2, 10 Sinaran Drive, #04-46/47/48/49, Square 2, Singapore 307506",,103.844208,1.320609,9:00 AM - 10:00 PM,"63976432, 63976428",,
NTUC,,"TAMPINES CC, 866A Tampines Street 83, #01-01, Singapore 521866",East,103.934408,1.355323,7:00 AM - 11:00 PM,"67852162, 65876836",,
NTUC,,"CAMBRIDGE BLK 43, 43 Cambridge Road, #01-15, Singapore 210043",Central,103.849386,1.315477,7:00 AM - 11:00 PM,62961552,,
NTUC,,"DOWNTOWN EAST, 1 Pasir Ris Close, #02-127, E Hub Downtown East, Singapore 519599",East,103.955191,1.376154,8:00 AM - 10:00 PM,"65815176, 65812915",,
NTUC,,"STIRLING ROAD, 170 Stirling Road, #01-1147, Singapore 140170",Central,103.802755,1.290864,9:00 AM - 10:00 PM,64724611,,
