Category,StoreType,OperatingHours,Telephone,Address,lng,lat
NTUC,,12:00 AM - 11:59 PM,"64764471, 64792427","DAWSON, 57 Dawson Road, #01-07, Dawson Place, Singapore 142057",103.811032,1.29271
NTUC,FairPrice Finest,8:00 AM - 11:00 PM,"62700913, 62700119","TIONG BAHRU PLAZA, 302 Tiong Bahru Road, #B1-01/02, Tiong Bahru Plaza, Singapore 168732",103.826746,1.286674
NTUC,,8:00 AM - 10:00 PM,62729697,"DEPOT, 108 Depot Road, #01-01, Depot Heights Shopping Centre, Singapore 100108",103.810083,1.281198
NTUC,,7:00 AM - 10:00 PM,"63129091, 63129880","PUNGGOL PLAZA, 168 Punggol Field Road, #03- 01/02, Punggol Plaza, Singapore 820168",103.912912,1.394211
NTUC,,7:00 AM - 11:00 PM,"62192812, 62192074","WOODLANDS CIVIC CTR, 900 South Woodlands Drive, #B1-01, Woodlands Civic Centre, Singapore 730900",103.774149,1.432504
NTUC,,12:00 AM - 11:59 PM,67810648,"TAMPINES BLK 138, 138 Tampines Street 11, #01- 136, Singapore 521138",103.945654,1.345493
NTUC,,12:00 AM - 11:59 PM,64432578,"CHAI CHEE, 29B Chai Chee Ave, #01-62, Singapore 462029",103.923793,1.324271
NTUC,,12:00 AM - 11:59 PM,62891647,"SERANGOON CENTRAL, 253 Serangoon Central Drive, #01-241, Singapore 550253",103.87077,1.354122
NTUC,,12:00 AM - 11:59 PM,64484285,"SIGLAP NEW MARKET, 934 East Coast Road, Siglap New Market, Singapore 459125",103.925253,1.312397
NTUC,,7:00 AM - 10:00 PM,67551369,"YISHUN BLK 239, 239 Yishun Ring Road, #01-1150, Singapore 760239",103.839943,1.433462
NTUC,,12:00 AM - 11:59 PM,"65812886, 65813845","PASIR RIS WEST PLAZA, 734 Pasir Ris Street 72, #01-37, Pasir Ris West Plaza, Singapore 510734",103.936293,1.379995
NTUC,FairPrice Xtra,7:00 AM - 11:00 PM,"64532521, 64531741","HYPER ANG MO KIO , 53 Ang Mo Kio Ave 3, #B2- 26, Ang Mo Kio Hub, Singapore 569933",103.848647,1.369623
NTUC,,9:00 AM - 10:00 PM,"63976432, 63976428","SQUARE 2, 10 Sinaran Drive, #04-46/47/48/49, Square 2, Singapore 307506",103.844208,1.320609
NTUC,,7:00 AM - 11:00 PM,"67852162, 65876836","TAMPINES CC, 866A Tampines Street 83, #01-01, Singapore 521866",103.934408,1.355323
NTUC,,7:00 AM - 11:00 PM,62961552,"CAMBRIDGE BLK 43, 43 Cambridge Road, #01-15, Singapore 210043",103.849386,1.315477
NTUC,,8:00 AM - 10:00 PM,"65815176, 65812915","DOWNTOWN EAST, 1 Pasir Ris Close, #02-127, E Hub Downtown East, Singapore 519599",103.955191,1.376154
NTUC,,9:00 AM - 10:00 PM,64724611,"STIRLING ROAD, 170 Stirling Road, #01-1147, Singapore 140170",103.802755,1.290864
NTUC,,12:00 AM - 11:59 PM,62425707,"JALAN TIGA, 41 Jalan Tiga, #01-05, Singapore 390041",103.884814,1.307587
NTUC,,12:00 AM - 11:59 PM,"64843176, 64843179","SEMBAWANG WAY BLK 355 , 355 Sembawang Way, #01-01, Singapore 750355",103.81862,1.449617
NTUC,FairPrice Finest,7:00 AM - 11:00 PM,"62426653, 62422048","CHANGI AIRPORT T3, 65 Changi Airport Terminal 3, Airport Boulevard, Basement 2 North, #B2-10, Singapore 819663",103.986632,1.356407
NTUC,,7:30 AM - 11:00 PM,67736269,"DOVER, 28 Dover Cresent, #01-83, Singapore 130028",103.781403,1.305007
NTUC,,7:00 AM - 11:00 PM,67422116,"UPPER BOON KENG, 5 Upper Boon Keng Road, #01-05, Singapore 380005",103.872549,1.312591
NTUC,,12:00 AM - 11:59 PM,"64818505, 64818014","COMPASSVALE LINK, 277C Compassvale Link, #01-13, Singapore 544277",103.893961,1.382318
NTUC,,12:00 AM - 11:59 PM,"62562253, 62569602","LOR LIMAU, 80 Lorong Limau Road, #01-191, Singapore 320080",103.855841,1.323892
NTUC,Click and Collect,12:00 AM - 11:59 PM,"67901477, 67901765","HYPER JURONG POINT, 63 Jurong West Central 3, #03-01, Jurong Point, Singapore 648331",103.705189,1.339619
NTUC,,12:00 AM - 11:59 PM,67736387,"BUONA VISTA CC, 36 Holland Drive, #01-03/04/05, Singapore 270036",103.792671,1.309124
NTUC,,7:00 AM - 11:00 PM,"67639011, 67636891","YEW TEE POINT, 21 Choa Chu Kang North 6, #B1- 01, Yew Tee Point, Singapore 689578",103.746462,1.397335
NTUC,,7:00 AM - 11:00 PM,"67456977, 67452682","JOO CHIAT COMPLEX, 2 Joo Chiat Road, #01/02- 1139, Joo Chiat Complex, Singapore 420002",103.898858,1.315428
NTUC,,8:00 AM - 10:00 PM,"65096260, 65096261","CITY SQUARE MALL, 180 Kitchener Road, #B1- 09/10, Singapore 208539",103.856573,1.311547
NTUC,,12:00 AM - 11:59 PM,"63858040, 63859054","KANG KAR MALL , 100 Hougang Ave 10, #01-01 & #02-01, Kang Kar Mall, Singapore 538767",103.898841,1.371611
NTUC,FairPrice Finest,9:00 AM - 10:00 PM,"65870167, 65870163","CENTURY SQUARE, 2 Tampines Central 5, #B1/07/08/17, Century Square, Singapore 529509",103.944069,1.352083
NTUC,,12:00 AM - 11:59 PM,"65562133, 65564597","CANBERRA ROAD BLK 511, 511 Canberra Road, #02-03, Singapore 750511",103.819666,1.453875
NTUC,,8:00 AM - 11:00 PM,67469722,"EUNOS CRESCENT, 5 Eunos Crescent, #01-2619/21, Singapore 400005",103.903569,1.321159
NTUC,,8:00 AM - 11:00 PM,67497047,"CIRCUIT BLK 77, 77 Circuit Road, #01-464/466, Singapore 370077",103.885289,1.328327
NTUC,,9:00 AM - 10:00 PM,"64823678, 64823624","ORCHID COUNTRY CLUB, 1 Orchid Club Rd, #01- 34 Level 1, Orchid Country Club, Singapore 769162",103.844766,1.411317
NTUC,FairPrice Xtra,12:00 AM - 11:59 PM,"66344948, 66344947","HYPER NEX, 23 Serangoon Central, #03-42, nex Mall, Singapore 556083",103.871962,1.350703
NTUC,FairPrice Finest,8:00 AM - 11:00 PM,"66594437, 66594438","CLEMENTI MALL, 3155 Commonwealth Avenue West, #B1-12/13/14, The Clementi Mall, Singapore 129588",103.764127,1.315159
NTUC,FairPrice Finest,12:00 AM - 11:59 PM,"66342038, 66342037","MY VILLAGE, 1 Maju Avenue, # B1-11 to 14, # B1- K09, Serangoon Garden Village, Singapore 556679",103.865406,1.365039
NTUC,,12:00 AM - 11:59 PM,64588090,"ANG MO KIO BLK 215, 215 Ang Mo Kio Ave 1, #01- 877, Singapore 560215",103.84161,1.366489
NTUC,,7:00 AM - 11:00 PM,66365760,"PUNGGOL DRIVE BLOCK 612, 612 Punggol Drive, #01-06, Singapore 820612",103.908612,1.404916
NTUC,,7:00 AM - 10:00 PM,"62754868, 62754631","KIM TIAN, 18/20 Kim Tian Road, Singapore 169252",103.829388,1.284821
NTUC,,12:00 AM - 11:59 PM,64582558,"BISHAN NORTH BLK 279, 279 Bishan Street 24, #01-62/64, Singapore 570279",103.843808,1.35721
NTUC,,12:00 AM - 11:59 PM,67487794,"LENGKONG TIGA, 110 Lengkong Tiga, #01-233/235, Singapore 410110",103.910843,1.32366
NTUC,,12:00 AM - 11:59 PM,68416016,"GEYLANG LORONG 38, 612/620 Geylang Lorong 38, Singapore 389551",103.888666,1.314241
NTUC,,12:00 AM - 11:59 PM,"64564147, 64564805","ANG MO KIO BLK 712, 712 Ang Mo Kio Ave 6, #01- 4056, Singapore 560712",103.847129,1.371417
NTUC,FairPrice Finest,8:00 AM - 11:00 PM,"66360290, 66360291","SCOTTS SQUARE, 6 Scotts Road, #B1-03 to 07 and #B1-10, Scotts Square, Singapore 228209",103.832837,1.306076
NTUC,,8:00 AM - 10:00 PM,"62769903, 62707303","PSA BRANCH, 460 Alexandra Road, #01-09 & #01- 16, Singapore 119963",103.80135,1.273727
NTUC,FairPrice Xtra,8:00 AM - 10:30 PM,"66047548, 66047546","HYPER CHANGI, 8 Changi Business Park Ave 1, #01- 51 & #02-51, Singapore 486018",103.963539,1.335073
NTUC,FairPrice Finest,8:00 AM - 11:00 PM,"67340536, 67340260","ZHONGSHAN PARK, 20 Ah Hood Road, #02-01, Zhong Shan Park, Singapore 329984",103.846506,1.32704
NTUC,,8:00 AM - 10:30 PM,"67020381, 67020382","CHINATOWN POINT, 133 New Bridge Road, #B1- 01, Chinatown Point, Singapore 059413",103.845348,1.285692
NTUC,FairPrice Finest,8:00 AM - 10:00 PM,"66047457, 66047405","AMARA, 100 Tras Street, #B1-01, 100Am, Singapore 079027",103.843184,1.276173
NTUC,,7:00 AM - 11:00 PM,63392996,"WOODLANDS AVE 1, 570B Woodlands Ave 1, #01- 06, Singapore 732570",103.790783,1.431138
NTUC,FairPrice Finest,8:00 AM - 10:00 PM,"67339358, 67339861","VALLEY POINT, 491 River Valley Road, #01-14, Valley Point, Singapore 248371",103.827441,1.293144
NTUC,,7:00 AM - 11:00 PM,67766620,"WEST COAST, 502 West Coast Drive, #01-41, Singapore 120502",103.759264,1.311912
NTUC,,8:00 AM - 10:00 PM,68532308,"ITE ANG MO KIO, 2 Blk A Ang Mo Kio Drive, #01- 12, Singapore 567720",103.856399,1.377636
NTUC,FairPrice Xtra,7:00 AM - 11:00 PM,"63391729, 63390385","HYPER JEM, 50 Jurong Gateway Road, #B1 -21/22 & B3 -01, Singapore 608549",103.74303,1.332903
NTUC,Click and Collect,7:30 AM - 9:00 PM,66944957,"CHEERS NUS, No. 2 College Avenue West #01-05, #01-05, Singapore 138607",,
NTUC,Click and Collect,12:00 AM - 11:59 PM,64539336,"CHEERS UPPER THOMSON, 594 Upper Thomson Road, Singapore 574420",103.828942,1.372928
NTUC,,8:00 AM - 10:00 PM,65381476,"PUNGGOL WALK, 308C Punggol Walk, #01-352, Singapore 823308",103.898952,1.408075
NTUC,,8:00 AM - 9:00 PM,"64720048, 64720147","REDHILL, 20 Lengkok Bahru, #01-13, Singapore 159053",,
NTUC,Click and Collect,7:00 AM - 10:50 PM,62419105,"CHEERS NEPTUNE COURT,  #01- 33, Neptune Court, Singapore 449034",103.921789,1.306448
NTUC,,7:00 AM - 11:00 PM,62530146,"JALAN BUKIT MERAH, 1 Jalan Bukit Merah, #01- 4500, Singapore 150001",103.808749,1.286507
NTUC,Click and Collect,7:00 AM - 11:00 PM,"62192812, 62192074","WOODLANDS CIVIC CTR, 900 South Woodlands Drive, #B1-01, Woodlands Civic Centre, Singapore 730900",103.786769,1.435047
NTUC,,7:00 AM - 10:00 PM,65691789,"BUKIT BATOK HT, 2 Bukit Batok West, #01-10, HomeTeamNS Clubhse, Singapore 659003",103.749864,1.365527
NTUC,Click and Collect,8:00 AM - 11:00 PM,"65850536, 65850540","WHITESANDS, 1 Pasir Ris Central Street 3, #B1-10, Whitesands, Singapore 518457",103.949452,1.372461
NTUC,Click and Collect,7:00 AM - 11:00 PM,"65431239, 65431147","CHANGI AIRPORT T2, Click&Collect: No Chilled & Frozen, #B16-029, Terminal 2, Basement Level South, Singapore 819643",103.989337,1.355012
NTUC,,8:00 AM - 10:00 PM,63521728,"MACPHERSON MALL, 401 Macpherson Road, #02- 22, Macpherson Mall, Singapore 368125",103.879125,1.331731
NTUC,FairPrice Finest,9:00 AM - 10:00 PM,"62624180, 62624183","JCUBE, 2 Jurong East Central 1, #B1-12 , Jcube, Singapore 609731",103.707119,1.339721
NTUC,FairPrice Finest,12:00 AM - 11:59 PM,"67693819, 67693956","YEW TEE MRT , 61 Choa Chu Kang Drive, #01-01 , Yew Tee MRT Station, Singapore 689715",103.747452,1.397045
NTUC,,8:00 AM - 10:00 PM,63583036,"Henderson Crescent, 106 Henderson Crescent, #01-47, Singapore 150106",,
NTUC,FairPrice Finest,9:00 AM - 10:00 PM,"64438547, 64431472","CHANGI CITY POINT, 5 Changi Business Park Central 1, #B1-09/10/11 , Singapore 486038",103.963235,1.335117
NTUC,,8:00 AM - 10:00 PM,65815176,"DOWNTOWN EAST, 1 Pasir Ris Close, #02-127, E Hub Downtown East, Singapore 519599",103.955222,1.376189
NTUC,,12:00 AM - 11:59 PM,"63866751, 63866762","OUR TAMPINES HUB, 51 Tampines Ave 4, #B1-01, Festive Mall @ Our Tampines Hub, Singapore 529684",103.939799,1.35374
NTUC,,12:00 AM - 11:59 PM,64443216,"JALAN KAYU, 447A Jalan Kayu, #01-01/02, Singapore 791447",103.872496,1.392308
NTUC,FairPrice Finest,8:00 AM - 11:00 PM,"63421242, 63421371","KATONG VILLAGE, 30 East Coast Road, #01- 06/07/08/09, Katong Village Hotel, Singapore 428751",103.902876,1.304024
NTUC,,7:00 AM - 11:00 PM,62949535,"KITCHENER COMPLEX, 808 French Road, #01-01, Singapore 200808",103.86199,1.308916
NTUC,FairPrice Finest,8:00 AM - 11:00 PM,"68449846, 68449845","BEDOK MALL, 311 New Upper Changi Road, #B2- 60, Bedok Mall, Singapore 467360",103.928729,1.324419
